customer_id,Transaction_count,number_of_purchase_in_weekend,number_of_purchase_in_weekday,most_common_city,diff_city,count_of_city,most_used_discount_code,Unique_Payment_Methods,Most_used_payment_method,First_order_date,Last_order_date,total_shipping_cost,total_discount,count_of_discounted_transactions,Gross_revenue,Net_revenue,AOV_per_customer,Net_revenue_excluding_shipping,Avg_Discount_per_Transaction,discounted_transaction_pct,recency_days,Customer_Lifespan_in_days,Avg_days_between_transaction,Customer_lifespan_in_months,Avg_transactions_per_month,plan_id,plan_start_date,plan_payment_timestamp,plan_payment_method,plan_name,plan_term,plan_price,status,expiry_date,churn_flag
CUST_00001,8,2,6,North Williamville,1,6,CODE_THOSE,3,Credit Card,2024-06-25 00:03:00.000,2025-05-03 05:18:19.364,115.38,2637.31,7,28961.14,26439.21,3304.9,26323.83,329.66,87.5,27,339,42,11,1,PLAN_B,2025-01-26,2025-02-02 07:29:34.445,Credit Card,Premium Subscription,Annual,119.99,Active,2026-01-26,0
CUST_00002,3,0,3,Katelynport,1,2,CODE_ITS,2,PayPal,2025-05-28 00:01:00.000,2025-05-28 00:08:00.000,48.85,93.88,1,4636.24,4591.21,1530.4,4542.36,31.29,33.33,2,2,1,0,3,PLAN_B,2024-02-06,2024-03-06 14:10:39.834,Credit Card,Premium Subscription,Annual,119.99,Active,2025-02-06,1
CUST_00003,3,0,3,Evansville,1,3,CODE_AVOID,2,PayPal,2024-05-28 00:04:00.000,2025-02-12 08:52:34.375,40.02,574.55,2,14714.43,14179.9,4726.63,14139.88,191.52,66.67,107,367,122,12,0,PLAN_B,2025-03-10,2024-06-18 17:34:37.467,Credit Card,Premium Subscription,Annual,119.99,Active,2026-03-10,0
CUST_00004,4,1,3,New Danielleside,1,4,CODE_AVOID,2,Credit Card,2024-06-30 01:02:11.201,2025-01-14 09:18:19.844,60.6,378.58,3,4731.62,4413.64,1103.41,4353.04,94.65,75.0,136,334,84,11,0,PLAN_B,2024-11-13,2024-07-12 23:08:29.757,Credit Card,Premium Subscription,Annual,119.99,Active,2025-11-13,0
CUST_00005,2,0,2,Schaeferview,1,2,CODE_BALL,2,Credit Card,2024-02-02 00:04:00.000,2024-10-02 17:06:32.662,33.97,462.27,2,6049.64,5621.339999999999,2810.67,5587.369999999999,231.14,100.0,240,483,242,16,0,PLAN_A,2025-03-12,2024-03-31 01:29:11.413,Credit Card,Standard Subscription,Monthly,12.99,Active,2025-04-12,1
CUST_00006,7,0,7,Alecchester,1,6,CODE_FLOOR,3,Debit Card,2025-05-14 00:02:00.000,2025-05-22 21:51:34.504,97.55,1770.1799999999998,5,14159.39,12486.76,1783.82,12389.21,252.88,71.43,8,16,2,1,7,PLAN_B,2025-05-09,2024-11-08 08:02:24.935,PayPal,Premium Subscription,Annual,119.99,Active,2026-05-09,0
CUST_00007,7,5,2,South Kathleentown,1,6,CODE_NEWSPAPER,3,PayPal,2025-03-08 00:03:00.000,2025-03-10 02:04:36.716,140.69,2163.91,7,17848.4,15825.18,2260.74,15684.49,309.13,100.0,81,83,12,3,2,PLAN_A,2025-01-23,2024-02-16 18:21:08.886,PayPal,Standard Subscription,Monthly,12.99,Active,2025-02-23,1
CUST_00008,6,0,6,West Donald,1,5,CODE_DECADE,3,Credit Card,2025-02-21 00:01:00.000,2025-02-21 00:08:00.000,94.39,2897.67,5,22779.97,19976.69,3329.45,19882.3,482.94,83.33,98,98,16,3,2,PLAN_B,2025-01-27,2024-12-11 04:24:47.522,Credit Card,Premium Subscription,Annual,119.99,Active,2026-01-27,0
CUST_00009,10,1,9,Lake Emilyland,1,8,CODE_BALL,3,Credit Card,2024-03-20 18:07:37.386,2025-05-09 11:56:12.489,170.8,2389.67,8,23179.98,20961.11,2096.11,20790.31,238.97,80.0,21,436,44,15,1,PLAN_A,2024-08-26,2024-09-27 06:06:02.935,Credit Card,Standard Subscription,Monthly,12.99,Active,2024-09-26,1
CUST_00010,5,0,5,Katelynport,1,4,CODE_AVOID,2,Debit Card,2024-07-01 00:08:00.000,2024-11-07 14:25:30.220,50.21,1073.08,3,12371.78,11348.91,2269.78,11298.7,214.62,60.0,204,333,67,11,0,PLAN_B,2024-03-20,2024-02-17 17:48:05.672,Credit Card,Premium Subscription,Annual,119.99,Active,2025-03-20,1
