,Unnamed: 0,customer_id,Transaction_count,number_of_purchase_in_weekend,number_of_purchase_in_weekday,most_common_city,diff_city,count_of_city,most_used_discount_code,Unique_Payment_Methods,Most_used_payment_method,First_order_date,Last_order_date,total_shipping_cost,total_discount,count_of_discounted_transactions,Gross_revenue,Net_revenue,AOV_per_customer,Net_revenue_excluding_shipping,Avg_Discount_per_Transaction,discounted_transaction_pct,recency_days,Customer_Lifespan_in_days,Avg_days_between_transaction,Customer_lifespan_in_months,Avg_transactions_per_month,plan_id,plan_start_date,plan_payment_timestamp,plan_payment_method,plan_name,plan_term,plan_price,status,expiry_date,churn_flag
0,0,CUST_00001,8,2,6,North Williamville,1,6,CODE_THOSE,3,Credit Card,2024-06-25 00:03:00.000000,2025-05-03 05:18:19.364322,115.38,2637.31,7,28961.14,26439.21,3304.9,26323.83,329.66,87.5,27,339,42,11,1,PLAN_B,2025-01-26,2025-02-02 07:29:34.444516,Credit Card,Premium Subscription,Annual,119.99,Active,2026-01-26,0
1,1,CUST_00002,3,0,3,Katelynport,1,2,CODE_ITS,2,PayPal,2025-05-28 00:01:00.000000,2025-05-28 00:08:00.000000,48.85,93.88,1,4636.24,4591.21,1530.4,4542.36,31.29,33.33,2,2,1,0,3,PLAN_B,2024-02-06,2024-03-06 14:10:39.834134,Credit Card,Premium Subscription,Annual,119.99,Active,2025-02-06,1
2,2,CUST_00003,3,0,3,Evansville,1,3,CODE_AVOID,2,PayPal,2024-05-28 00:04:00.000000,2025-02-12 08:52:34.375195,40.02,574.55,2,14714.43,14179.9,4726.63,14139.88,191.52,66.67,107,367,122,12,0,PLAN_B,2025-03-10,2024-06-18 17:34:37.467253,Credit Card,Premium Subscription,Annual,119.99,Active,2026-03-10,0
3,3,CUST_00004,4,1,3,New Danielleside,1,4,CODE_AVOID,2,Credit Card,2024-06-30 01:02:11.201420,2025-01-14 09:18:19.844289,60.6,378.58,3,4731.62,4413.64,1103.41,4353.04,94.65,75.0,136,334,84,11,0,PLAN_B,2024-11-13,2024-07-12 23:08:29.757150,Credit Card,Premium Subscription,Annual,119.99,Active,2025-11-13,0
4,4,CUST_00005,2,0,2,Schaeferview,1,2,CODE_BALL,2,Credit Card,2024-02-02 00:04:00.000000,2024-10-02 17:06:32.662082,33.97,462.27,2,6049.64,5621.339999999999,2810.67,5587.369999999999,231.14,100.0,240,483,242,16,0,PLAN_A,2025-03-12,2024-03-31 01:29:11.413288,Credit Card,Standard Subscription,Monthly,12.99,Active,2025-04-12,1
5,5,CUST_00006,7,0,7,Alecchester,1,6,CODE_FLOOR,3,Debit Card,2025-05-14 00:02:00.000000,2025-05-22 21:51:34.503905,97.55,1770.1799999999998,5,14159.39,12486.76,1783.82,12389.21,252.88,71.43,8,16,2,1,7,PLAN_B,2025-05-09,2024-11-08 08:02:24.935396,PayPal,Premium Subscription,Annual,119.99,Active,2026-05-09,0
6,6,CUST_00007,7,5,2,South Kathleentown,1,6,CODE_NEWSPAPER,3,PayPal,2025-03-08 00:03:00.000000,2025-03-10 02:04:36.716145,140.69,2163.91,7,17848.4,15825.18,2260.74,15684.49,309.13,100.0,81,83,12,3,2,PLAN_A,2025-01-23,2024-02-16 18:21:08.886489,PayPal,Standard Subscription,Monthly,12.99,Active,2025-02-23,1
7,7,CUST_00008,6,0,6,West Donald,1,5,CODE_DECADE,3,Credit Card,2025-02-21 00:01:00.000000,2025-02-21 00:08:00.000000,94.39,2897.67,5,22779.97,19976.69,3329.45,19882.3,482.94,83.33,98,98,16,3,2,PLAN_B,2025-01-27,2024-12-11 04:24:47.522085,Credit Card,Premium Subscription,Annual,119.99,Active,2026-01-27,0
8,8,CUST_00009,10,1,9,Lake Emilyland,1,8,CODE_BALL,3,Credit Card,2024-03-20 18:07:37.386461,2025-05-09 11:56:12.489143,170.8,2389.67,8,23179.98,20961.11,2096.11,20790.31,238.97,80.0,21,436,44,15,1,PLAN_A,2024-08-26,2024-09-27 06:06:02.934566,Credit Card,Standard Subscription,Monthly,12.99,Active,2024-09-26,1
9,9,CUST_00010,5,0,5,Katelynport,1,4,CODE_AVOID,2,Debit Card,2024-07-01 00:08:00.000000,2024-11-07 14:25:30.219991,50.21,1073.08,3,12371.78,11348.91,2269.78,11298.7,214.62,60.0,204,333,67,11,0,PLAN_B,2024-03-20,2024-02-17 17:48:05.672455,Credit Card,Premium Subscription,Annual,119.99,Active,2025-03-20,1
10,10,CUST_00011,4,3,1,East Robertside,1,4,CODE_RESEARCH,3,PayPal,2024-06-02 00:01:00.000000,2024-11-05 01:30:58.312033,78.12,37.21,1,3395.97,3436.88,859.22,3358.76,9.3,25.0,206,362,90,12,0,PLAN_A,2025-02-02,2024-09-30 09:01:55.256581,PayPal,Standard Subscription,Monthly,12.99,Active,2025-03-02,1
11,11,CUST_00012,3,1,2,Onealland,1,2,CODE_CASE,3,Credit Card,2024-11-23 00:03:00.000000,2025-03-19 02:35:07.409973,56.9,673.35,3,10628.65,10012.2,3337.4,9955.3,224.45,100.0,72,188,63,6,0,PLAN_A,2024-07-21,2025-02-01 17:24:35.393209,PayPal,Standard Subscription,Monthly,12.99,Active,2024-08-21,1
12,12,CUST_00013,9,0,9,Lake Alexanderchester,1,7,CODE_ACTUALLY,3,PayPal,2024-09-16 00:02:00.000000,2024-12-24 22:58:40.929042,143.4,1319.69,6,17320.52,16144.23,1793.8,16000.83,146.63,66.67,157,256,28,9,1,PLAN_B,2024-05-29,2024-12-08 09:26:55.758153,PayPal,Premium Subscription,Annual,119.99,Active,2025-05-29,1
13,13,CUST_00014,6,1,5,Belindaport,1,6,CODE_AVOID,3,Credit Card,2024-11-27 00:02:00.000000,2025-02-12 00:22:48.174441,83.51,663.75,5,6884.9,6304.66,1050.78,6221.15,110.62,83.33,107,184,31,6,1,PLAN_A,2024-05-11,2024-06-13 15:37:17.681415,PayPal,Standard Subscription,Monthly,12.99,Active,2024-06-11,1
14,14,CUST_00015,7,2,5,Lake Emilyland,1,6,CODE_BALL,2,PayPal,2024-05-21 00:07:00.000000,2024-11-15 06:38:41.826221,103.78,40.78,2,8833.93,8896.93,1270.99,8793.15,5.83,28.57,196,374,53,12,1,PLAN_B,2024-05-27,2025-05-04 15:02:10.014733,Credit Card,Premium Subscription,Annual,119.99,Active,2025-05-27,1
15,15,CUST_00016,9,1,8,Onealland,1,7,CODE_CASE,3,Credit Card,2024-03-03 03:04:49.845849,2025-03-14 03:42:09.459319,111.69,1838.23,7,17337.25,15610.71,1734.52,15499.02,204.25,77.78,77,453,50,15,1,PLAN_B,2024-02-01,2024-10-15 17:50:53.505810,PayPal,Premium Subscription,Annual,119.99,Active,2025-02-01,1
16,16,CUST_00017,2,0,2,Liubury,1,2,CODE_SAVE,2,Credit Card,2024-05-13 10:47:05.513476,2024-12-24 08:17:06.704002,19.03,368.19,2,4357.51,4008.35,2004.18,3989.32,184.1,100.0,157,382,191,13,0,PLAN_B,2025-03-19,2024-01-15 23:02:41.652870,PayPal,Premium Subscription,Annual,119.99,Active,2026-03-19,0
17,17,CUST_00018,6,2,4,West Clintonberg,1,5,CODE_ACTUALLY,3,Debit Card,2024-07-29 03:26:51.344826,2025-03-08 12:37:08.765034,92.54,641.3399999999999,5,10371.73,9822.93,1637.16,9730.39,106.89,83.33,83,305,51,10,1,PLAN_B,2025-05-08,2024-01-13 03:13:32.421134,PayPal,Premium Subscription,Annual,119.99,Active,2026-05-08,0
18,18,CUST_00019,6,0,6,East Jeffrey,1,6,CODE_DIFFERENT,3,Credit Card,2024-11-14 00:01:00.000000,2025-05-28 15:47:57.376328,94.97,959.1,4,14558.24,13694.11,2282.35,13599.14,159.85,66.67,2,197,33,7,1,PLAN_A,2024-08-18,2024-05-09 10:54:17.479398,Credit Card,Standard Subscription,Monthly,12.99,Active,2024-09-18,1
19,19,CUST_00020,5,1,4,Alecchester,1,5,CODE_AVOID,3,Credit Card,2024-07-24 00:04:00.000000,2025-04-21 04:44:24.397770,78.45,657.85,4,7388.47,6809.069999999999,1361.81,6730.619999999999,131.57,80.0,39,310,62,10,0,PLAN_A,2025-03-15,2024-07-31 05:03:08.159421,Credit Card,Standard Subscription,Monthly,12.99,Active,2025-04-15,1
20,20,CUST_00021,6,0,6,East Robertside,1,6,CODE_THOSE,3,Debit Card,2025-05-15 00:05:00.000000,2025-05-15 00:09:00.000000,76.98,672.71,3,13078.37,12482.64,2080.44,12405.66,112.12,50.0,15,15,2,0,6,PLAN_B,2024-08-21,2024-08-01 19:12:41.165334,PayPal,Premium Subscription,Annual,119.99,Active,2025-08-21,0
