customer_id,Transaction_count,number_of_purchase_in_weekend,number_of_purchase_in_weekday,most_common_city,diff_city,count_of_city,most_used_discount_code,Unique_Payment_Methods,Most_used_payment_method,First_order_date,Last_order_date,total_shipping_cost,total_discount,count_of_discounted_transactions,Gross_revenue,Net_revenue,AOV_per_customer,Net_revenue_excluding_shipping,Avg_Discount_per_Transaction,discounted_transaction_pct,recency_days,Customer_Lifespan_in_days,Avg_days_between_transaction,Customer_lifespan_in_months,Avg_transactions_per_month,plan_id,plan_start_date,plan_payment_timestamp,plan_payment_method,plan_name,plan_term,plan_price,status,total_sessions,total_visits,total_page_views,avg_page_views_per_session,total_time_spent,avg_session_duration,device_count,device_type_count,most_frequent_device,entry_page_diversity,most_entry_page,exit_page_diversity,most_exit_page,geo_location_count,geo_location_home,channel_diversity,channel_pref,ad_campaign_exposure,most_recent_ad_campaign,first_visit_date,last_visit_date,days_since_last_session,customer_tenure_days,avg_time_between_sessions_mins,bounce_rate,session_recency,session_frequency,visits_on_first_day,visits_F1_FN,visits_F1_AN,freq_FN,freq_AN,freq_FN_per_day,freq_AN_per_day,avg_session_duration_in_hrs
CUST_00001,8,2,6,North Williamville,1,6,CODE_THOSE,3,Credit Card,2024-06-25 00:03:00.000000,2025-05-03 05:18:19.364322,115.38,2637.31,7,28961.14,26439.21,3304.9,26323.829999999998,329.66,87.5,27,339,42,11,1,PLAN_B,2025-01-26,2025-02-02 07:29:34.444516,Credit Card,Premium Subscription,Annual,12.99,Active,21,107,530,4.953271028037383,100080.0,935.3271028037383,1,1,Mobile,3,/product_list,3,/checkout_complete,19,West Rachel,4,SEM,3,SEM - Always On,2024-02-18 01:55:02.840983,2025-05-03 05:31:54.603909,110,440,5979.404365233333,0,110,21,0,15,18,15,18,0.03409090901342975,0.040909090816115705,79.43
CUST_00002,3,0,3,Katelynport,1,2,CODE_ITS,2,PayPal,2025-05-28 00:01:00.000000,2025-05-28 00:08:00.000000,48.849999999999994,93.88,1,4636.24,4591.21,1530.4,4542.36,31.29,33.33,2,2,1,0,3,PLAN_B,2024-02-06,2024-03-06 14:10:39.834134,Credit Card,Premium Subscription,Annual,12.99,Active,19,74,373,5.04054054054054,69540.0,939.7297297297297,1,1,Desktop,3,/homepage,3,/product_page,18,Davieston,3,Organic,2,,2024-01-19 02:16:31.463305,2025-05-26 18:39:24.444117,86,493,9738.395657716666,0,86,19,0,2,19,2,19,0.004056795123617048,0.03853955367436196,61.0
CUST_00003,3,0,3,Evansville,1,3,CODE_AVOID,2,PayPal,2024-05-28 00:04:00.000000,2025-02-12 08:52:34.375195,40.02,574.55,2,14714.43,14179.900000000001,4726.63,14139.880000000001,191.52,66.67,107,367,122,12,0,PLAN_B,2025-03-10,2024-06-18 17:34:37.467253,Credit Card,Premium Subscription,Annual,12.99,Active,16,84,400,4.761904761904762,81720.0,972.8571428571429,1,1,Mobile,3,/homepage,3,/homepage,13,Kimberlyshire,4,Organic,2,SEM - Holiday 2024,2024-01-08 08:08:22.171999,2025-05-13 10:53:39.873159,100,491,8520.545723116667,0,100,16,0,42,20,42,20,0.0855397146934018,0.04073319747304848,85.12
CUST_00004,4,1,3,New Danielleside,1,4,CODE_AVOID,2,Credit Card,2024-06-30 01:02:11.201420,2025-01-14 09:18:19.844289,60.599999999999994,378.58000000000004,3,4731.62,4413.64,1103.41,4353.04,94.65,75.0,136,334,84,11,0,PLAN_B,2024-11-13,2024-07-12 23:08:29.757150,Credit Card,Premium Subscription,Annual,12.99,Active,16,100,506,5.06,111240.0,1112.4,1,1,Desktop,3,/landing_page,3,/product_page,15,North Karen,4,Organic,3,,2024-01-19 09:52:53.147418,2025-04-06 04:12:58.441046,137,442,6440.202911383333,0,137,16,11,23,35,23,35,0.05203619897729367,0.07918552018283818,115.88
CUST_00005,2,0,2,Schaeferview,1,2,CODE_BALL,2,Credit Card,2024-02-02 00:04:00.000000,2024-10-02 17:06:32.662082,33.97,462.27,2,6049.64,5621.339999999999,2810.67,5587.369999999999,231.14,100.0,240,483,242,16,0,PLAN_A,2025-03-12,2024-03-31 01:29:11.413288,Credit Card,Standard Subscription,Monthly,119.99,Active,9,50,261,5.22,58260.0,1165.2,1,1,Desktop,3,/landing_page,3,/homepage,9,Shellyshire,2,Organic,2,,2024-01-17 21:01:44.920340,2025-04-24 22:54:00.804414,118,463,13608.821729266667,0,118,9,7,0,26,0,26,0.0,0.056155507438109056,107.89
CUST_00006,7,0,7,Alecchester,1,6,CODE_FLOOR,3,Debit Card,2025-05-14 00:02:00.000000,2025-05-22 21:51:34.503905,97.55,1770.1799999999998,5,14159.390000000001,12486.76,1783.82,12389.210000000001,252.88,71.43,8,16,2,1,7,PLAN_B,2025-05-09,2024-11-08 08:02:24.935396,PayPal,Premium Subscription,Annual,12.99,Active,22,112,558,4.982142857142857,110460.0,986.25,1,1,Desktop,3,/homepage,3,/checkout_complete,21,Alecchester,4,Organic,1,SEM - Always On,2024-01-17 22:18:30.488809,2025-05-22 22:05:18.247074,90,490,6369.6107745,0,90,22,5,14,38,14,38,0.028571428513119532,0.07755102024989588,83.68
CUST_00007,7,5,2,South Kathleentown,1,6,CODE_NEWSPAPER,3,PayPal,2025-03-08 00:03:00.000000,2025-03-10 02:04:36.716145,140.69,2163.91,7,17848.4,15825.18,2260.74,15684.49,309.13,100.0,81,83,12,3,2,PLAN_A,2025-01-23,2024-02-16 18:21:08.886489,PayPal,Standard Subscription,Monthly,119.99,Active,30,141,711,5.042553191489362,120780.0,856.5957446808511,1,1,Desktop,3,/product_list,3,/homepage,26,Hallville,4,Organic,2,SEM - Always On,2024-01-08 15:24:48.061853,2025-05-15 22:19:58.170865,97,493,5073.822632016667,0,97,30,3,45,29,45,29,0.09127789028138358,0.058823529292447205,67.1
CUST_00008,6,0,6,West Donald,1,5,CODE_DECADE,3,Credit Card,2025-02-21 00:01:00.000000,2025-02-21 00:08:00.000000,94.39,2897.67,5,22779.97,19976.69,3329.45,19882.3,482.94,83.33,98,98,16,3,2,PLAN_B,2025-01-27,2024-12-11 04:24:47.522085,Credit Card,Premium Subscription,Annual,12.99,Active,18,82,397,4.841463414634147,84060.0,1025.121951219512,1,1,Desktop,3,/product_list,3,/product_page,14,West Eric,3,Organic,2,,2024-01-01 03:04:31.319597,2025-02-17 18:14:11.350850,184,413,7353.452681316666,0,184,18,2,17,26,17,26,0.04116222750323916,0.06295399500495401,77.83
CUST_00009,10,1,9,Lake Emilyland,1,8,CODE_BALL,3,Credit Card,2024-03-20 18:07:37.386461,2025-05-09 11:56:12.489143,170.8,2389.67,8,23179.98,20961.11,2096.11,20790.31,238.97,80.0,21,436,44,15,1,PLAN_A,2024-08-26,2024-09-27 06:06:02.934566,Credit Card,Standard Subscription,Monthly,119.99,Active,22,107,495,4.626168224299065,135780.0,1268.9719626168223,1,1,Desktop,3,/homepage,3,/product_page,20,Lake Emilyland,4,SEM,1,,2024-02-01 21:01:26.373194,2025-05-24 18:52:53.995817,88,477,6492.3722677000005,0,88,22,9,31,13,31,13,0.06498951768346013,0.02725366870596715,102.86
CUST_00010,5,0,5,Katelynport,1,4,CODE_AVOID,2,Debit Card,2024-07-01 00:08:00.000000,2024-11-07 14:25:30.219991,50.21,1073.08,3,12371.779999999999,11348.91,2269.78,11298.7,214.62,60.0,204,333,67,11,0,PLAN_B,2024-03-20,2024-02-17 17:48:05.672455,Credit Card,Premium Subscription,Annual,12.99,Active,18,102,496,4.862745098039215,121920.0,1195.2941176470588,1,1,Mobile,3,/landing_page,3,/homepage,14,Shellyshire,4,Direct,1,,2024-01-16 12:24:03.064944,2025-05-20 08:26:46.576901,93,489,6983.789358399999,0,93,18,0,19,32,19,32,0.03885480564651369,0.06543967266781253,112.89
CUST_00011,4,3,1,East Robertside,1,4,CODE_RESEARCH,3,PayPal,2024-06-02 00:01:00.000000,2024-11-05 01:30:58.312033,78.12,37.21,1,3395.97,3436.88,859.22,3358.76,9.3,25.0,206,362,90,12,0,PLAN_A,2025-02-02,2024-09-30 09:01:55.256581,PayPal,Standard Subscription,Monthly,119.99,Active,18,82,400,4.878048780487805,96300.0,1174.3902439024391,1,1,Desktop,3,/homepage,3,/product_page,16,Port Joseport,4,SEM,1,,2024-01-14 07:48:48.899163,2025-03-18 09:28:50.600080,156,429,7627.90158455,0,156,18,0,26,0,26,0,0.06060606046478774,0.0,89.17
CUST_00012,3,1,2,Onealland,1,2,CODE_CASE,3,Credit Card,2024-11-23 00:03:00.000000,2025-03-19 02:35:07.409973,56.9,673.35,3,10628.65,10012.199999999999,3337.4,9955.3,224.45,100.0,72,188,63,6,0,PLAN_A,2024-07-21,2025-02-01 17:24:35.393209,PayPal,Standard Subscription,Monthly,119.99,Active,20,107,548,5.121495327102804,106380.0,994.2056074766355,1,1,Mobile,3,/homepage,3,/product_page,17,New Danielleside,4,Organic,3,,2024-01-14 02:13:15.853794,2025-05-15 21:25:03.968854,97,487,6626.715112416667,0,97,20,0,41,19,41,19,0.0841889115314396,0.03901437363652079,88.65
CUST_00013,9,0,9,Lake Alexanderchester,1,7,CODE_ACTUALLY,3,PayPal,2024-09-16 00:02:00.000000,2024-12-24 22:58:40.929042,143.4,1319.69,6,17320.52,16144.23,1793.8,16000.83,146.63,66.67,157,256,28,9,1,PLAN_B,2024-05-29,2024-12-08 09:26:55.758153,PayPal,Premium Subscription,Annual,12.99,Active,21,97,501,5.164948453608248,92280.0,951.340206185567,1,1,Desktop,3,/landing_page,3,/homepage,18,West Markborough,3,Organic,2,,2024-01-04 09:35:55.216900,2025-05-13 13:17:03.896663,99,495,7427.303590233333,0,99,21,0,17,39,17,39,0.03434343427405367,0.07878787862871135,73.24
